Name,Date,Review_Title,Review_Text,Location,Rating
Marina Semjonova,"January 03, 2023",Return,I was talking to Keith. He was great help and managed to solve my problem within few minutes 😀,IE,Rated 5 out of 5 stars
Jes,"January 05, 2023",Edisondelos was great with his job and…,Edisondelos was great with his job and efficient with the refund process,PA,Rated 5 out of 5 stars
Tonny Vu,"January 04, 2023",satisfied with the service and help I…,"satisfied with the service and help I received, finding my discount code",DK,Rated 5 out of 5 stars
Zoë Sabbagh,"January 02, 2023",Quick and helpful!,Got a quick and helpful response about a coupon code that god messed up. My problem was fixed right away!,US,Rated 5 out of 5 stars
Shaha,"January 04, 2023",I am happy because I got the help that…,I am happy because I got the help that I needed and fast also. Thank u.,SE,Rated 5 out of 5 stars
Gabriela Drvodelic,"January 03, 2023",Helpful customer service,Helpful customer service. Every time I contacted them my problem was successfully resolved.,IE,Rated 5 out of 5 stars
Nix x,"January 04, 2023",Very friendly agent,Very friendly agent! Always patient and eager to solve the problem!,HR,Rated 5 out of 5 stars
Asia,"January 02, 2023",quickly and successfully,Jonathan did a great job. He solved my problem within 10 minutes. Thank you once again!,PL,Rated 5 out of 5 stars
Angelo,"January 05, 2023",Quick response and easy to talk to to,Very easy to reached them out and easy to talk to when handling order issues,GB,Rated 5 out of 5 stars
A. Hanoun Saado,"January 05, 2023",friendly and professional,This guy knows what he is talking about friendly and professional,NL,Rated 5 out of 5 stars
Munguakonkwa Kasenge,"January 04, 2023",I got help right away,"I got help right away, and the customer service was very polite!",NO,Rated 5 out of 5 stars
Ximene Fialho Campos,"January 02, 2023",Very helpful <3,MaCristine was super helpful and did all she could to help. Lovely customer service!,DK,Rated 5 out of 5 stars
Piers Barclay,"January 03, 2023",Celine was superb responsive and…,Celine was superb responsive and polite. Problem solved quickly and easily. Perfect!,GB,Rated 5 out of 5 stars
Sophie,"January 03, 2023",Although I’m not happy with the…,"Although I’m not happy with the endresult, i was kindly helped by edelyne",NL,Rated 5 out of 5 stars
Stacey AK,"January 03, 2023",Customer Service is great at ASOS,Customer Service is great at ASOS. Everything is dealt with quickly and properly.,GB,Rated 5 out of 5 stars
Yasmin Solly,"January 03, 2023",Great experience,My advisor was so lovely and understanding and my issue was solved within minutesThank you,GB,Rated 5 out of 5 stars
M.,"January 03, 2023",Great Customer Service,"Great Customer Service! So friendly, very pleased with their service.",NL,Rated 5 out of 5 stars
